"State","Point prediction","Lower bound","Upper bound"
"Alabama",21.9206012491474,17.930596426757,25.9106060715379
"Alaska",18.3274061015599,11.7420344175434,24.9127777855763
"Arizona",-2.09546989776084,-7.45690963834473,3.26596984282306
"Arkansas",36.850884048889,29.6191154111223,44.0826526866557
"California",-32.6087925846582,-38.0509305851377,-27.1666545841787
"Colorado",-12.3173769988624,-17.4074578710385,-7.2272961266864
"Connecticut",-24.88468913121,-28.8680771088748,-20.9013011535452
"Delaware",-16.99621785583,-22.3807621173209,-11.611673594339
"Florida",-1.9009020831674,-5.72580033173038,1.92399616539558
"Georgia",-1.11123874227296,-4.1401540686264,1.91767658408048
"Hawaii",-44.3100957407515,-54.286767201322,-34.333424280181
"Idaho",31.7868107747439,23.2333447879856,40.3402767615021
"Illinois",-16.051144819293,-20.92955034671,-11.172739291876
"Indiana",12.4094654524889,7.70114063512896,17.1177902698489
"Iowa",2.6619501852821,-2.10479449672298,7.42869486728718
"Kansas",15.5149426877874,12.4521941395997,18.577691235975
"Kentucky",26.2653109442599,17.003917518006,35.5267043705137
"Louisiana",27.879561768607,19.6196959731279,36.1394275640861
"Maine",-17.6870664186075,-29.0869647774301,-6.28716805978479
"Maryland",-27.0474656513027,-33.4208717030287,-20.6740595995767
"Massachusetts",-36.7492798110404,-45.6899275012697,-27.8086321208112
"Michigan",-8.21000100930564,-11.7378219706204,-4.6821800479909
"Minnesota",-9.00416571848712,-13.9380707844773,-4.07026065249694
"Mississippi",15.8242217606609,9.51424153255723,22.1342019887645
"Missouri",5.04540724637321,-1.59839130907531,11.6892058018217
"Montana",2.85805797779495,-1.27682141294831,6.99293736853822
"Nebraska",9.64200048155164,-1.8754006124357,21.159401575539
"Nevada",-11.6622835128468,-19.2428294022169,-4.08173762347672
"New Hampshire",-8.08700343671018,-20.7560163128752,4.58200943945487
"New Jersey",-24.1546362536231,-30.562471140895,-17.7468013663512
"New Mexico",-13.5393888220043,-18.3251220505341,-8.75365559347451
"New York",-31.9772120781537,-34.7414665690002,-29.2129575873072
"North Carolina",1.22963107086003,-3.28603560394609,5.74529774566614
"North Dakota",22.4900128363056,8.85457684267674,36.1254488299344
"Ohio",4.2218250723455,1.86411963167298,6.57953051301801
"Oklahoma",25.4681126892272,18.3076134022735,32.6286119761808
"Oregon",-16.6432855803708,-20.3241575258468,-12.9624136348948
"Pennsylvania",-6.77522107300501,-10.1508557926704,-3.39958635333962
"South Carolina",9.85219029253906,5.36215861786842,14.3422219672097
"South Dakota",15.001854132769,4.38018073856883,25.6235275269692
"Tennessee",22.011530092551,13.0486637313546,30.9743964537474
"Texas",6.0978338829025,1.74123825625243,10.4544295095526
"Utah",23.1253526975659,17.4025559303516,28.8481494647802
"Vermont",-31.0238414409851,-37.1263406011616,-24.9213422808087
"Virginia",-10.9369149961373,-16.8387117906688,-5.03511820160583
"Washington",-25.0203592775107,-29.436496577987,-20.6042219770345
"West Virginia",42.0838791442987,33.5751341675846,50.5926241210127
"Wisconsin",-7.81443448548705,-12.1085353723024,-3.52033359867174
